VERSION,2.0.51
sf cluster show,azure.cli.command_modules.servicefabric
sf cluster list,azure.cli.command_modules.servicefabric
sf cluster create,azure.cli.command_modules.servicefabric
sf cluster certificate add,azure.cli.command_modules.servicefabric
sf cluster certificate remove,azure.cli.command_modules.servicefabric
sf cluster client-certificate add,azure.cli.command_modules.servicefabric
sf cluster client-certificate remove,azure.cli.command_modules.servicefabric
sf cluster setting set,azure.cli.command_modules.servicefabric
sf cluster setting remove,azure.cli.command_modules.servicefabric
sf cluster reliability update,azure.cli.command_modules.servicefabric
sf cluster durability update,azure.cli.command_modules.servicefabric
sf cluster node-type add,azure.cli.command_modules.servicefabric
sf cluster node add,azure.cli.command_modules.servicefabric
sf cluster node remove,azure.cli.command_modules.servicefabric
sf cluster upgrade-type set,azure.cli.command_modules.servicefabric
sf application certificate add,azure.cli.command_modules.servicefabric
search service list,azure.cli.command_modules.search
search service show,azure.cli.command_modules.search
search service delete,azure.cli.command_modules.search
search service update,azure.cli.command_modules.search
search service create,azure.cli.command_modules.search
search admin-key show,azure.cli.command_modules.search
search admin-key renew,azure.cli.command_modules.search
search query-key list,azure.cli.command_modules.search
search query-key create,azure.cli.command_modules.search
search query-key delete,azure.cli.command_modules.search
dls account create,azure.cli.command_modules.dls
dls account update,azure.cli.command_modules.dls
dls account list,azure.cli.command_modules.dls
dls account delete,azure.cli.command_modules.dls
dls account show,azure.cli.command_modules.dls
dls account enable-key-vault,azure.cli.command_modules.dls
dls account firewall create,azure.cli.command_modules.dls
dls account firewall update,azure.cli.command_modules.dls
dls account firewall list,azure.cli.command_modules.dls
dls account firewall show,azure.cli.command_modules.dls
dls account firewall delete,azure.cli.command_modules.dls
dls account network-rule create,azure.cli.command_modules.dls
dls account network-rule update,azure.cli.command_modules.dls
dls account network-rule list,azure.cli.command_modules.dls
dls account network-rule show,azure.cli.command_modules.dls
dls account network-rule delete,azure.cli.command_modules.dls
dls account trusted-provider create,azure.cli.command_modules.dls
dls account trusted-provider update,azure.cli.command_modules.dls
dls account trusted-provider list,azure.cli.command_modules.dls
dls account trusted-provider show,azure.cli.command_modules.dls
dls account trusted-provider delete,azure.cli.command_modules.dls
dls fs show,azure.cli.command_modules.dls
dls fs list,azure.cli.command_modules.dls
dls fs create,azure.cli.command_modules.dls
dls fs append,azure.cli.command_modules.dls
dls fs delete,azure.cli.command_modules.dls
dls fs upload,azure.cli.command_modules.dls
dls fs download,azure.cli.command_modules.dls
dls fs test,azure.cli.command_modules.dls
dls fs preview,azure.cli.command_modules.dls
dls fs join,azure.cli.command_modules.dls
dls fs move,azure.cli.command_modules.dls
dls fs set-expiry,azure.cli.command_modules.dls
dls fs remove-expiry,azure.cli.command_modules.dls
dls fs access set-permission,azure.cli.command_modules.dls
dls fs access set-owner,azure.cli.command_modules.dls
dls fs access show,azure.cli.command_modules.dls
dls fs access set-entry,azure.cli.command_modules.dls
dls fs access set,azure.cli.command_modules.dls
dls fs access remove-entry,azure.cli.command_modules.dls
dls fs access remove-all,azure.cli.command_modules.dls
webapp create,azure.cli.command_modules.appservice
webapp list,azure.cli.command_modules.appservice
webapp show,azure.cli.command_modules.appservice
webapp delete,azure.cli.command_modules.appservice
webapp stop,azure.cli.command_modules.appservice
webapp start,azure.cli.command_modules.appservice
webapp restart,azure.cli.command_modules.appservice
webapp browse,azure.cli.command_modules.appservice
webapp list-runtimes,azure.cli.command_modules.appservice
webapp identity assign,azure.cli.command_modules.appservice
