VERSION,2.0.51
webapp identity show,azure.cli.command_modules.appservice
webapp identity remove,azure.cli.command_modules.appservice
webapp update,azure.cli.command_modules.appservice
webapp traffic-routing set,azure.cli.command_modules.appservice
webapp traffic-routing show,azure.cli.command_modules.appservice
webapp traffic-routing clear,azure.cli.command_modules.appservice
webapp cors add,azure.cli.command_modules.appservice
webapp cors remove,azure.cli.command_modules.appservice
webapp cors show,azure.cli.command_modules.appservice
webapp config set,azure.cli.command_modules.appservice
webapp config show,azure.cli.command_modules.appservice
webapp config appsettings list,azure.cli.command_modules.appservice
webapp config appsettings set,azure.cli.command_modules.appservice
webapp config appsettings delete,azure.cli.command_modules.appservice
webapp config connection-string list,azure.cli.command_modules.appservice
webapp config connection-string set,azure.cli.command_modules.appservice
webapp config connection-string delete,azure.cli.command_modules.appservice
webapp config storage-account list,azure.cli.command_modules.appservice
webapp config storage-account add,azure.cli.command_modules.appservice
webapp config storage-account update,azure.cli.command_modules.appservice
webapp config storage-account delete,azure.cli.command_modules.appservice
webapp config hostname add,azure.cli.command_modules.appservice
webapp config hostname list,azure.cli.command_modules.appservice
webapp config hostname delete,azure.cli.command_modules.appservice
webapp config hostname get-external-ip,azure.cli.command_modules.appservice
webapp config container set,azure.cli.command_modules.appservice
webapp config container delete,azure.cli.command_modules.appservice
webapp config container show,azure.cli.command_modules.appservice
webapp config ssl upload,azure.cli.command_modules.appservice
webapp config ssl list,azure.cli.command_modules.appservice
webapp config ssl bind,azure.cli.command_modules.appservice
webapp config ssl unbind,azure.cli.command_modules.appservice
webapp config ssl delete,azure.cli.command_modules.appservice
webapp config backup list,azure.cli.command_modules.appservice
webapp config backup show,azure.cli.command_modules.appservice
webapp config backup create,azure.cli.command_modules.appservice
webapp config backup update,azure.cli.command_modules.appservice
webapp config backup restore,azure.cli.command_modules.appservice
webapp webjob continuous list,azure.cli.command_modules.appservice
webapp webjob continuous remove,azure.cli.command_modules.appservice
webapp webjob continuous start,azure.cli.command_modules.appservice
webapp webjob continuous stop,azure.cli.command_modules.appservice
webapp webjob triggered list,azure.cli.command_modules.appservice
webapp webjob triggered remove,azure.cli.command_modules.appservice
webapp webjob triggered run,azure.cli.command_modules.appservice
webapp webjob triggered log,azure.cli.command_modules.appservice
webapp deployment source config-local-git,azure.cli.command_modules.appservice
webapp deployment source config-zip,azure.cli.command_modules.appservice
webapp deployment source config,azure.cli.command_modules.appservice
webapp deployment source sync,azure.cli.command_modules.appservice
webapp deployment source show,azure.cli.command_modules.appservice
webapp deployment source delete,azure.cli.command_modules.appservice
webapp deployment source update-token,azure.cli.command_modules.appservice
webapp log tail,azure.cli.command_modules.appservice
webapp log download,azure.cli.command_modules.appservice
webapp log config,azure.cli.command_modules.appservice
webapp log show,azure.cli.command_modules.appservice
webapp deployment slot list,azure.cli.command_modules.appservice
webapp deployment slot delete,azure.cli.command_modules.appservice
webapp deployment slot auto-swap,azure.cli.command_modules.appservice
webapp deployment slot swap,azure.cli.command_modules.appservice
webapp deployment slot create,azure.cli.command_modules.appservice
webapp deployment list-publishing-profiles,azure.cli.command_modules.appservice
webapp deployment user show,azure.cli.command_modules.appservice
webapp deployment user set,azure.cli.command_modules.appservice
webapp deployment container config,azure.cli.command_modules.appservice
webapp deployment container show-cd-url,azure.cli.command_modules.appservice
webapp auth show,azure.cli.command_modules.appservice
webapp auth update,azure.cli.command_modules.appservice
webapp deleted list,azure.cli.command_modules.appservice
webapp deleted restore,azure.cli.command_modules.appservice
appservice plan create,azure.cli.command_modules.appservice
appservice plan delete,azure.cli.command_modules.appservice
appservice plan list,azure.cli.command_modules.appservice
appservice plan show,azure.cli.command_modules.appservice
appservice plan update,azure.cli.command_modules.appservice
appservice list-locations,azure.cli.command_modules.appservice
functionapp create,azure.cli.command_modules.appservice
functionapp list,azure.cli.command_modules.appservice
functionapp show,azure.cli.command_modules.appservice
functionapp delete,azure.cli.command_modules.appservice
functionapp stop,azure.cli.command_modules.appservice
functionapp start,azure.cli.command_modules.appservice
functionapp restart,azure.cli.command_modules.appservice
functionapp list-consumption-locations,azure.cli.command_modules.appservice
functionapp identity assign,azure.cli.command_modules.appservice
functionapp identity show,azure.cli.command_modules.appservice
functionapp identity remove,azure.cli.command_modules.appservice
functionapp update,azure.cli.command_modules.appservice
functionapp config set,azure.cli.command_modules.appservice
functionapp config show,azure.cli.command_modules.appservice
functionapp config appsettings list,azure.cli.command_modules.appservice
functionapp config appsettings set,azure.cli.command_modules.appservice
functionapp config appsettings delete,azure.cli.command_modules.appservice
functionapp config hostname add,azure.cli.command_modules.appservice
functionapp config hostname list,azure.cli.command_modules.appservice
functionapp config hostname delete,azure.cli.command_modules.appservice
functionapp config hostname get-external-ip,azure.cli.command_modules.appservice
functionapp config ssl upload,azure.cli.command_modules.appservice
functionapp config ssl list,azure.cli.command_modules.appservice
functionapp config ssl bind,azure.cli.command_modules.appservice
functionapp config ssl unbind,azure.cli.command_modules.appservice
functionapp config ssl delete,azure.cli.command_modules.appservice
functionapp deployment source config-local-git,azure.cli.command_modules.appservice
functionapp deployment source config-zip,azure.cli.command_modules.appservice
functionapp deployment source config,azure.cli.command_modules.appservice
functionapp deployment source sync,azure.cli.command_modules.appservice
functionapp deployment source show,azure.cli.command_modules.appservice
functionapp deployment source delete,azure.cli.command_modules.appservice
functionapp deployment source update-token,azure.cli.command_modules.appservice
functionapp deployment user set,azure.cli.command_modules.appservice
functionapp deployment user show,azure.cli.command_modules.appservice
functionapp deployment list-publishing-profiles,azure.cli.command_modules.appservice
functionapp cors add,azure.cli.command_modules.appservice
functionapp cors remove,azure.cli.command_modules.appservice
functionapp cors show,azure.cli.command_modules.appservice
dla account create,azure.cli.command_modules.dla
dla account update,azure.cli.command_modules.dla
dla account list,azure.cli.command_modules.dla
dla account show,azure.cli.command_modules.dla
dla account delete,azure.cli.command_modules.dla
dla account firewall create,azure.cli.command_modules.dla
dla account firewall update,azure.cli.command_modules.dla
dla account firewall list,azure.cli.command_modules.dla
dla account firewall show,azure.cli.command_modules.dla
dla account firewall delete,azure.cli.command_modules.dla
dla job submit,azure.cli.command_modules.dla
dla job wait,azure.cli.command_modules.dla
dla job show,azure.cli.command_modules.dla
dla job cancel,azure.cli.command_modules.dla
dla job list,azure.cli.command_modules.dla
dla job pipeline show,azure.cli.command_modules.dla
dla job pipeline list,azure.cli.command_modules.dla
dla job recurrence show,azure.cli.command_modules.dla
dla job recurrence list,azure.cli.command_modules.dla
dla account blob-storage show,azure.cli.command_modules.dla
dla account blob-storage add,azure.cli.command_modules.dla
dla account blob-storage update,azure.cli.command_modules.dla
dla account blob-storage delete,azure.cli.command_modules.dla
dla account blob-storage list,azure.cli.command_modules.dla
dla account data-lake-store show,azure.cli.command_modules.dla
dla account data-lake-store list,azure.cli.command_modules.dla
dla account data-lake-store add,azure.cli.command_modules.dla
dla account data-lake-store delete,azure.cli.command_modules.dla
dla catalog credential create,azure.cli.command_modules.dla
dla catalog credential show,azure.cli.command_modules.dla
dla catalog credential update,azure.cli.command_modules.dla
dla catalog credential list,azure.cli.command_modules.dla
dla catalog credential delete,azure.cli.command_modules.dla
dla catalog database show,azure.cli.command_modules.dla
dla catalog database list,azure.cli.command_modules.dla
dla catalog schema show,azure.cli.command_modules.dla
dla catalog schema list,azure.cli.command_modules.dla
dla catalog table show,azure.cli.command_modules.dla
dla catalog table list,azure.cli.command_modules.dla
dla catalog assembly show,azure.cli.command_modules.dla
dla catalog assembly list,azure.cli.command_modules.dla
dla catalog external-data-source show,azure.cli.command_modules.dla
dla catalog external-data-source list,azure.cli.command_modules.dla
dla catalog procedure show,azure.cli.command_modules.dla
dla catalog procedure list,azure.cli.command_modules.dla
dla catalog table-partition show,azure.cli.command_modules.dla
dla catalog table-partition list,azure.cli.command_modules.dla
dla catalog table-stats show,azure.cli.command_modules.dla
dla catalog table-stats list,azure.cli.command_modules.dla
dla catalog table-type show,azure.cli.command_modules.dla
dla catalog table-type list,azure.cli.command_modules.dla
dla catalog tvf show,azure.cli.command_modules.dla
dla catalog tvf list,azure.cli.command_modules.dla
dla catalog view show,azure.cli.command_modules.dla
dla catalog view list,azure.cli.command_modules.dla
dla catalog package show,azure.cli.command_modules.dla
dla catalog package list,azure.cli.command_modules.dla
dla account compute-policy create,azure.cli.command_modules.dla
dla account compute-policy update,azure.cli.command_modules.dla
dla account compute-policy list,azure.cli.command_modules.dla
dla account compute-policy show,azure.cli.command_modules.dla
dla account compute-policy delete,azure.cli.command_modules.dla
storage account check-name,azure.cli.command_modules.storage
storage account create,azure.cli.command_modules.storage
storage account delete,azure.cli.command_modules.storage
storage account show,azure.cli.command_modules.storage
storage account list,azure.cli.command_modules.storage
storage account show-usage,azure.cli.command_modules.storage
storage account show-connection-string,azure.cli.command_modules.storage
storage account update,azure.cli.command_modules.storage
storage account keys renew,azure.cli.command_modules.storage
storage account keys list,azure.cli.command_modules.storage
storage account generate-sas,azure.cli.command_modules.storage
storage account network-rule add,azure.cli.command_modules.storage
storage account network-rule list,azure.cli.command_modules.storage
storage account network-rule remove,azure.cli.command_modules.storage
storage logging update,azure.cli.command_modules.storage
storage logging show,azure.cli.command_modules.storage
storage metrics update,azure.cli.command_modules.storage
storage metrics show,azure.cli.command_modules.storage
storage blob list,azure.cli.command_modules.storage
storage blob download,azure.cli.command_modules.storage
storage blob generate-sas,azure.cli.command_modules.storage
storage blob url,azure.cli.command_modules.storage
storage blob snapshot,azure.cli.command_modules.storage
storage blob update,azure.cli.command_modules.storage
storage blob exists,azure.cli.command_modules.storage
storage blob delete,azure.cli.command_modules.storage
storage blob undelete,azure.cli.command_modules.storage
storage blob set-tier,azure.cli.command_modules.storage
storage blob upload,azure.cli.command_modules.storage
storage blob upload-batch,azure.cli.command_modules.storage
storage blob download-batch,azure.cli.command_modules.storage
storage blob delete-batch,azure.cli.command_modules.storage
storage blob show,azure.cli.command_modules.storage
storage blob metadata show,azure.cli.command_modules.storage
storage blob metadata update,azure.cli.command_modules.storage
storage blob lease acquire,azure.cli.command_modules.storage
storage blob lease renew,azure.cli.command_modules.storage
storage blob lease release,azure.cli.command_modules.storage
storage blob lease change,azure.cli.command_modules.storage
storage blob lease break,azure.cli.command_modules.storage
storage blob copy start,azure.cli.command_modules.storage
storage blob copy cancel,azure.cli.command_modules.storage
storage blob copy start-batch,azure.cli.command_modules.storage
storage blob incremental-copy start,azure.cli.command_modules.storage
storage blob incremental-copy cancel,azure.cli.command_modules.storage
storage blob service-properties delete-policy show,azure.cli.command_modules.storage
storage blob service-properties delete-policy update,azure.cli.command_modules.storage
storage blob service-properties show,azure.cli.command_modules.storage
storage container list,azure.cli.command_modules.storage
storage container delete,azure.cli.command_modules.storage
storage container show,azure.cli.command_modules.storage
storage container create,azure.cli.command_modules.storage
storage container generate-sas,azure.cli.command_modules.storage
storage container exists,azure.cli.command_modules.storage
storage container set-permission,azure.cli.command_modules.storage
storage container show-permission,azure.cli.command_modules.storage
storage container metadata update,azure.cli.command_modules.storage
storage container metadata show,azure.cli.command_modules.storage
storage container lease acquire,azure.cli.command_modules.storage
storage container lease renew,azure.cli.command_modules.storage
storage container lease release,azure.cli.command_modules.storage
storage container lease change,azure.cli.command_modules.storage
storage container lease break,azure.cli.command_modules.storage
storage container policy create,azure.cli.command_modules.storage
storage container policy delete,azure.cli.command_modules.storage
storage container policy update,azure.cli.command_modules.storage
storage container policy show,azure.cli.command_modules.storage
storage container policy list,azure.cli.command_modules.storage
storage container immutability-policy show,azure.cli.command_modules.storage
storage container immutability-policy create,azure.cli.command_modules.storage
storage container immutability-policy delete,azure.cli.command_modules.storage
storage container immutability-policy lock,azure.cli.command_modules.storage
storage container immutability-policy extend,azure.cli.command_modules.storage
storage container legal-hold set,azure.cli.command_modules.storage
storage container legal-hold clear,azure.cli.command_modules.storage
storage container legal-hold show,azure.cli.command_modules.storage
storage share list,azure.cli.command_modules.storage
storage share create,azure.cli.command_modules.storage
storage share delete,azure.cli.command_modules.storage
storage share generate-sas,azure.cli.command_modules.storage
storage share stats,azure.cli.command_modules.storage
storage share show,azure.cli.command_modules.storage
storage share update,azure.cli.command_modules.storage
storage share snapshot,azure.cli.command_modules.storage
storage share exists,azure.cli.command_modules.storage
storage share url,azure.cli.command_modules.storage
storage share metadata show,azure.cli.command_modules.storage
storage share metadata update,azure.cli.command_modules.storage
storage share policy create,azure.cli.command_modules.storage
storage share policy delete,azure.cli.command_modules.storage
storage share policy show,azure.cli.command_modules.storage
storage share policy list,azure.cli.command_modules.storage
storage share policy update,azure.cli.command_modules.storage
storage directory create,azure.cli.command_modules.storage
storage directory delete,azure.cli.command_modules.storage
storage directory show,azure.cli.command_modules.storage
storage directory exists,azure.cli.command_modules.storage
storage directory metadata show,azure.cli.command_modules.storage
storage directory metadata update,azure.cli.command_modules.storage
storage directory list,azure.cli.command_modules.storage
storage file list,azure.cli.command_modules.storage
storage file delete,azure.cli.command_modules.storage
storage file resize,azure.cli.command_modules.storage
storage file url,azure.cli.command_modules.storage
storage file generate-sas,azure.cli.command_modules.storage
storage file show,azure.cli.command_modules.storage
storage file update,azure.cli.command_modules.storage
storage file exists,azure.cli.command_modules.storage
storage file download,azure.cli.command_modules.storage
storage file upload,azure.cli.command_modules.storage
storage file metadata show,azure.cli.command_modules.storage
storage file metadata update,azure.cli.command_modules.storage
storage file copy start,azure.cli.command_modules.storage
storage file copy cancel,azure.cli.command_modules.storage
storage file upload-batch,azure.cli.command_modules.storage
storage file download-batch,azure.cli.command_modules.storage
storage file delete-batch,azure.cli.command_modules.storage
storage file copy start-batch,azure.cli.command_modules.storage
storage cors add,azure.cli.command_modules.storage
storage cors clear,azure.cli.command_modules.storage
storage cors list,azure.cli.command_modules.storage
storage queue list,azure.cli.command_modules.storage
storage queue create,azure.cli.command_modules.storage
storage queue delete,azure.cli.command_modules.storage
storage queue generate-sas,azure.cli.command_modules.storage
storage queue stats,azure.cli.command_modules.storage
storage queue exists,azure.cli.command_modules.storage
storage queue metadata show,azure.cli.command_modules.storage
storage queue metadata update,azure.cli.command_modules.storage
storage queue policy create,azure.cli.command_modules.storage
storage queue policy delete,azure.cli.command_modules.storage
storage queue policy show,azure.cli.command_modules.storage
storage queue policy list,azure.cli.command_modules.storage
storage queue policy update,azure.cli.command_modules.storage
storage message put,azure.cli.command_modules.storage
storage message get,azure.cli.command_modules.storage
storage message peek,azure.cli.command_modules.storage
storage message delete,azure.cli.command_modules.storage
storage message clear,azure.cli.command_modules.storage
storage message update,azure.cli.command_modules.storage
storage table create,azure.cli.command_modules.storage
storage table delete,azure.cli.command_modules.storage
storage table exists,azure.cli.command_modules.storage
storage table generate-sas,azure.cli.command_modules.storage
storage table list,azure.cli.command_modules.storage
storage table stats,azure.cli.command_modules.storage
storage table policy create,azure.cli.command_modules.storage
storage table policy delete,azure.cli.command_modules.storage
storage table policy show,azure.cli.command_modules.storage
storage table policy list,azure.cli.command_modules.storage
storage table policy update,azure.cli.command_modules.storage
storage entity query,azure.cli.command_modules.storage
storage entity replace,azure.cli.command_modules.storage
storage entity merge,azure.cli.command_modules.storage
storage entity delete,azure.cli.command_modules.storage
storage entity show,azure.cli.command_modules.storage
storage entity insert,azure.cli.command_modules.storage
cloud list,azure.cli.command_modules.cloud
cloud show,azure.cli.command_modules.cloud
cloud register,azure.cli.command_modules.cloud
cloud unregister,azure.cli.command_modules.cloud
cloud set,azure.cli.command_modules.cloud
cloud update,azure.cli.command_modules.cloud
cloud list-profiles,azure.cli.command_modules.cloud
container list,azure.cli.command_modules.container
container create,azure.cli.command_modules.container
container show,azure.cli.command_modules.container
container delete,azure.cli.command_modules.container
container logs,azure.cli.command_modules.container
container exec,azure.cli.command_modules.container
container export,azure.cli.command_modules.container
container attach,azure.cli.command_modules.container
container restart,azure.cli.command_modules.container
container stop,azure.cli.command_modules.container
cognitiveservices account create,azure.cli.command_modules.cognitiveservices
cognitiveservices account delete,azure.cli.command_modules.cognitiveservices
cognitiveservices account show,azure.cli.command_modules.cognitiveservices
cognitiveservices account update,azure.cli.command_modules.cognitiveservices
cognitiveservices account list,azure.cli.command_modules.cognitiveservices
cognitiveservices account list-skus,azure.cli.command_modules.cognitiveservices
cognitiveservices account list-usage,azure.cli.command_modules.cognitiveservices
cognitiveservices account list-kinds,azure.cli.command_modules.cognitiveservices
cognitiveservices account keys regenerate,azure.cli.command_modules.cognitiveservices
cognitiveservices account keys list,azure.cli.command_modules.cognitiveservices
cognitiveservices list,azure.cli.command_modules.cognitiveservices
batch account list,azure.cli.command_modules.batch
batch account show,azure.cli.command_modules.batch
batch account create,azure.cli.command_modules.batch
batch account set,azure.cli.command_modules.batch
batch account delete,azure.cli.command_modules.batch
batch account login,azure.cli.command_modules.batch
batch account autostorage-keys sync,azure.cli.command_modules.batch
batch account keys list,azure.cli.command_modules.batch
batch account keys renew,azure.cli.command_modules.batch
batch application list,azure.cli.command_modules.batch
batch application show,azure.cli.command_modules.batch
batch application create,azure.cli.command_modules.batch
batch application set,azure.cli.command_modules.batch
batch application delete,azure.cli.command_modules.batch
batch application package create,azure.cli.command_modules.batch
batch application package delete,azure.cli.command_modules.batch
batch application package show,azure.cli.command_modules.batch
batch application package activate,azure.cli.command_modules.batch
batch location quotas show,azure.cli.command_modules.batch
batch application summary list,azure.cli.command_modules.batch
batch application summary show,azure.cli.command_modules.batch
batch pool node-agent-skus list,azure.cli.command_modules.batch
batch pool node-counts list,azure.cli.command_modules.batch
batch certificate create,azure.cli.command_modules.batch
batch certificate delete,azure.cli.command_modules.batch
batch certificate show,azure.cli.command_modules.batch
batch certificate list,azure.cli.command_modules.batch
batch pool usage-metrics list,azure.cli.command_modules.batch
batch pool all-statistics show,azure.cli.command_modules.batch
batch pool create,azure.cli.command_modules.batch
batch pool list,azure.cli.command_modules.batch
batch pool delete,azure.cli.command_modules.batch
batch pool show,azure.cli.command_modules.batch
batch pool set,azure.cli.command_modules.batch
batch pool reset,azure.cli.command_modules.batch
batch pool autoscale disable,azure.cli.command_modules.batch
batch pool autoscale enable,azure.cli.command_modules.batch
batch pool autoscale evaluate,azure.cli.command_modules.batch
batch pool resize,azure.cli.command_modules.batch
batch pool os upgrade,azure.cli.command_modules.batch
batch node delete,azure.cli.command_modules.batch
batch job all-statistics show,azure.cli.command_modules.batch
batch job create,azure.cli.command_modules.batch
batch job delete,azure.cli.command_modules.batch
batch job show,azure.cli.command_modules.batch
batch job set,azure.cli.command_modules.batch
batch job reset,azure.cli.command_modules.batch
batch job list,azure.cli.command_modules.batch
batch job disable,azure.cli.command_modules.batch
batch job enable,azure.cli.command_modules.batch
batch job stop,azure.cli.command_modules.batch
batch job prep-release-status list,azure.cli.command_modules.batch
batch job task-counts show,azure.cli.command_modules.batch
batch job-schedule create,azure.cli.command_modules.batch
batch job-schedule delete,azure.cli.command_modules.batch
batch job-schedule show,azure.cli.command_modules.batch
batch job-schedule set,azure.cli.command_modules.batch
batch job-schedule reset,azure.cli.command_modules.batch
batch job-schedule disable,azure.cli.command_modules.batch
batch job-schedule enable,azure.cli.command_modules.batch
batch job-schedule stop,azure.cli.command_modules.batch
batch job-schedule list,azure.cli.command_modules.batch
batch task create,azure.cli.command_modules.batch
batch task list,azure.cli.command_modules.batch
batch task delete,azure.cli.command_modules.batch
batch task show,azure.cli.command_modules.batch
batch task reset,azure.cli.command_modules.batch
batch task reactivate,azure.cli.command_modules.batch
batch task stop,azure.cli.command_modules.batch
batch task subtask list,azure.cli.command_modules.batch
batch task file delete,azure.cli.command_modules.batch
batch task file download,azure.cli.command_modules.batch
batch task file show,azure.cli.command_modules.batch
batch task file list,azure.cli.command_modules.batch
batch node file delete,azure.cli.command_modules.batch
batch node file download,azure.cli.command_modules.batch
batch node file show,azure.cli.command_modules.batch
batch node file list,azure.cli.command_modules.batch
batch node user create,azure.cli.command_modules.batch
batch node user delete,azure.cli.command_modules.batch
batch node user reset,azure.cli.command_modules.batch
batch node show,azure.cli.command_modules.batch
batch node list,azure.cli.command_modules.batch
batch node reboot,azure.cli.command_modules.batch
batch node reimage,azure.cli.command_modules.batch
batch node scheduling disable,azure.cli.command_modules.batch
batch node scheduling enable,azure.cli.command_modules.batch
batch node remote-login-settings show,azure.cli.command_modules.batch
batch node remote-desktop download,azure.cli.command_modules.batch
batch node service-logs upload,azure.cli.command_modules.batch
eventgrid topic create,azure.cli.command_modules.eventgrid
eventgrid topic show,azure.cli.command_modules.eventgrid
eventgrid topic key list,azure.cli.command_modules.eventgrid
eventgrid topic key regenerate,azure.cli.command_modules.eventgrid
eventgrid topic delete,azure.cli.command_modules.eventgrid
eventgrid topic list,azure.cli.command_modules.eventgrid
eventgrid topic update,azure.cli.command_modules.eventgrid
eventgrid event-subscription create,azure.cli.command_modules.eventgrid
eventgrid event-subscription show,azure.cli.command_modules.eventgrid
eventgrid event-subscription delete,azure.cli.command_modules.eventgrid
eventgrid event-subscription list,azure.cli.command_modules.eventgrid
eventgrid event-subscription update,azure.cli.command_modules.eventgrid
eventgrid topic-type list,azure.cli.command_modules.eventgrid
eventgrid topic-type show,azure.cli.command_modules.eventgrid
eventgrid topic-type list-event-types,azure.cli.command_modules.eventgrid
network list-usages,azure.cli.command_modules.network
network application-gateway create,azure.cli.command_modules.network
network application-gateway delete,azure.cli.command_modules.network
network application-gateway show,azure.cli.command_modules.network
network application-gateway list,azure.cli.command_modules.network
network application-gateway start,azure.cli.command_modules.network
network application-gateway stop,azure.cli.command_modules.network
network application-gateway show-backend-health,azure.cli.command_modules.network
network application-gateway update,azure.cli.command_modules.network
network application-gateway wait,azure.cli.command_modules.network
network application-gateway auth-cert list,azure.cli.command_modules.network
network application-gateway auth-cert show,azure.cli.command_modules.network
network application-gateway auth-cert delete,azure.cli.command_modules.network
network application-gateway auth-cert create,azure.cli.command_modules.network
network application-gateway auth-cert update,azure.cli.command_modules.network
network application-gateway ssl-cert list,azure.cli.command_modules.network
network application-gateway ssl-cert show,azure.cli.command_modules.network
network application-gateway ssl-cert delete,azure.cli.command_modules.network
network application-gateway ssl-cert create,azure.cli.command_modules.network
network application-gateway ssl-cert update,azure.cli.command_modules.network
network application-gateway frontend-ip list,azure.cli.command_modules.network
network application-gateway frontend-ip show,azure.cli.command_modules.network
network application-gateway frontend-ip delete,azure.cli.command_modules.network
network application-gateway frontend-ip create,azure.cli.command_modules.network
network application-gateway frontend-ip update,azure.cli.command_modules.network
network application-gateway frontend-port list,azure.cli.command_modules.network
network application-gateway frontend-port show,azure.cli.command_modules.network
network application-gateway frontend-port delete,azure.cli.command_modules.network
network application-gateway frontend-port create,azure.cli.command_modules.network
network application-gateway frontend-port update,azure.cli.command_modules.network
network application-gateway address-pool list,azure.cli.command_modules.network
network application-gateway address-pool show,azure.cli.command_modules.network
network application-gateway address-pool delete,azure.cli.command_modules.network
network application-gateway address-pool create,azure.cli.command_modules.network
network application-gateway address-pool update,azure.cli.command_modules.network
network application-gateway http-settings list,azure.cli.command_modules.network
network application-gateway http-settings show,azure.cli.command_modules.network
network application-gateway http-settings delete,azure.cli.command_modules.network
network application-gateway http-settings create,azure.cli.command_modules.network
network application-gateway http-settings update,azure.cli.command_modules.network
network application-gateway http-listener list,azure.cli.command_modules.network
network application-gateway http-listener show,azure.cli.command_modules.network
network application-gateway http-listener delete,azure.cli.command_modules.network
network application-gateway http-listener create,azure.cli.command_modules.network
network application-gateway http-listener update,azure.cli.command_modules.network
network application-gateway rule list,azure.cli.command_modules.network
network application-gateway rule show,azure.cli.command_modules.network
network application-gateway rule delete,azure.cli.command_modules.network
network application-gateway rule create,azure.cli.command_modules.network
network application-gateway rule update,azure.cli.command_modules.network
network application-gateway probe list,azure.cli.command_modules.network
network application-gateway probe show,azure.cli.command_modules.network
network application-gateway probe delete,azure.cli.command_modules.network
network application-gateway probe create,azure.cli.command_modules.network
network application-gateway probe update,azure.cli.command_modules.network
network application-gateway url-path-map list,azure.cli.command_modules.network
network application-gateway url-path-map show,azure.cli.command_modules.network
network application-gateway url-path-map delete,azure.cli.command_modules.network
network application-gateway url-path-map create,azure.cli.command_modules.network
network application-gateway url-path-map update,azure.cli.command_modules.network
network application-gateway root-cert list,azure.cli.command_modules.network
network application-gateway root-cert show,azure.cli.command_modules.network
network application-gateway root-cert delete,azure.cli.command_modules.network
network application-gateway root-cert create,azure.cli.command_modules.network
